dist_code,year,state_code,state_name,dist_name,rice_harvest_price_(rs_per_quintal),paddy_harvest_price_(rs_per_quintal),wheat_harvest_price_(rs_per_quintal),sorghum_harvest_price_(rs_per_quintal),pearl_millet_harvest_price_(rs_per_quintal),maize_harvest_price_(rs_per_quintal),finger_millet_harvest_price_(rs_per_quintal),barley_harvest_price_(rs_per_quintal),chickpea_harvest_price_(rs_per_quintal),pigeonpea_harvest_price_(rs_per_quintal),groundnut_harvest_price_(rs_per_quintal),seasmum_harvest_price_(rs_per_quintal),rape_and_mustard_harvest_price_(rs_per_quintal),castor_harvest_price_(rs_per_quintal),linseed_harvest_price_(rs_per_quintal),sugarcane_gur_harvest_price_(rs_per_quintal),cotton_kapas_harvest_price_(rs_per_quintal)
216,2002,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,2003,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,664.0,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,2004,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,643.0,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1944.0,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,2006,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,2007,12,Uttar Pradesh,Varanasi,466.6462559382423,658.0,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1944.0,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,2008,12,Uttar Pradesh,Varanasi,466.6462559382423,890.0,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,1034.0,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,2009,12,Uttar Pradesh,Varanasi,466.6462559382423,953.0,928.0,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,894.0,843.6995126223595,3226.0,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,2010,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,2011,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
216,2012,12,Uttar Pradesh,Varanasi,466.6462559382423,397.54098555505004,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
217,1966,12,Uttar Pradesh,Mirzpur,466.6462559382423,90.5,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,72.0,105.1,104.3,996.0475178191822,145.9,997.7995313465101,884.1106108202443,149.4,549.9763331481738,976.5433229009282
217,1967,12,Uttar Pradesh,Mirzpur,466.6462559382423,66.9,403.314013281792,309.3118230223124,293.84184125110653,349.0165423143351,301.9138116591928,297.0802392626005,843.6995126223595,1003.9673023255814,996.0475178191822,1408.5887016443867,997.7995313465101,884.1106108202443,854.2871327191235,549.9763331481738,976.5433229009282
